Cluster,ClusterID,latitude,longitude,Census_CSD,Population_65_plus,Total_pop_est,pct_65_plus,Pop_source,Nearest_Hospital,Distance_km
Amherst,20518,45.8781185341881,-64.06379279289357,"Cumberland, Subd. C",1615.0,5694.0,28.4,CSD_exact,Cumberland Regional Health Care Centre,13.29
Annapolis Royal,10308,44.6333866705406,-65.23607069619109,"Annapolis, Subd. D",740.0,3049.0,24.3,CSD_exact,Annapolis Community Health Centre,23.94
Antigonish,30724,45.609666796035796,-61.93557221688085,"Antigonish, Subd. A",2270.0,8963.0,25.3,CSD_exact,St. Martha’s Regional Hospital,4.17
Armdale / Spryfield / Herring Cove,41143,44.57467175982574,-63.58520343953553,Halifax,5268.0,29139.0,18.1,DA_area_weighted,IWK Health Centre,7.01
Baddeck / Whycocomagh,30828,46.17882462315656,-60.795676228691,"Victoria, Subd. B",1320.0,4077.0,32.4,CSD_exact,Victoria County Memorial Hospital,9.25
Bedford / Hammonds Plains,41249,44.74205795947529,-63.756082491918235,Halifax,8375.0,50697.0,16.5,DA_area_weighted,Cobequid Community Health Centre,7.87
Berwick,10309,44.94431771793876,-64.71456107481106,"Kings, Subd. A",4815.0,22355.0,21.5,CSD_exact,Western Kings Memorial Health Centre,10.42
Bridgewater,10101,44.43165679032966,-64.62654975431325,Lunenburg,6927.0,24286.0,28.5,DA_area_weighted,South Shore Regional Hospital,10.66
Chester and Area,10102,44.67276534516992,-64.34865363670156,Chester,3270.0,10693.0,30.6,CSD_exact,Fishermen's Memorial Hospital,32.35
Cheticamp,30829,46.615408890257456,-60.84923086420884,"Inverness, Subd. A",1750.0,5207.0,33.6,CSD_exact,Sacred Heart Community Health Centre,12.7
Clayton Park,41147,44.66738190913846,-63.66459849868072,Halifax,7036.0,36662.0,19.2,DA_area_weighted,QEII - Halifax Infirmary Site,6.6
Cole Harbour / Eastern Passage,41039,44.65198545648478,-63.47494980896869,Halifax,5922.0,35566.0,16.7,DA_area_weighted,Dartmouth General Hospital,5.75
Cumberland North / North Shore,20519,45.69655440991535,-63.590819654975796,"Cumberland, Subd. D",1515.0,4283.0,35.4,CSD_exact,North Cumberland Memorial Hospital,18.52
Guysborough / Canso,30725,45.37620584203933,-61.4834121314995,Guysborough,1615.0,4585.0,35.2,CSD_exact,Guysborough Memorial Hospital,3.45
Halifax Chebucto,41145,44.649420922019395,-63.60973246194784,Halifax,2786.0,20240.0,13.8,DA_area_weighted,QEII - Halifax Infirmary Site,1.85
Dartmouth East,41038,44.6972354684408,-63.529339288860974,Halifax,4310.0,23618.0,18.2,DA_area_weighted,Dartmouth General Hospital,5.02
Dartmouth North,41036,44.701389465516776,-63.58403381544914,Halifax,3589.0,21690.0,16.5,DA_area_weighted,Dartmouth General Hospital,6.01
Dartmouth South,41037,44.658778644955774,-63.53035214431394,Halifax,6990.0,28874.0,24.2,DA_area_weighted,Dartmouth General Hospital,1.47
Digby / Clare / Weymouth,10205,44.35020942523892,-65.810867830873,Digby,2780.0,9243.0,30.1,CSD_exact,Digby General Hospital,29.87
Dingwall,30830,46.6397396670846,-60.54701461314191,"Victoria, Subd. A",735.0,2673.0,27.5,CSD_exact,Buchanan Memorial Community Health Centre,24.97
Dominion / Glace Bay,30934,46.140381847807575,-59.96169929285769,Cape Breton,5389.0,20126.0,26.8,DA_area_weighted,Glace Bay Health Care Facility,5.08
East Hants Corridor,20413,44.942900439407005,-63.48085627062114,Halifax,2103.0,13231.0,15.9,DA_area_weighted,Cobequid Community Health Centre,24.98
Eastern Shore / Musquodoboit,41353,44.9559798873279,-62.864857962058586,Halifax,4505.0,18724.0,24.1,DA_area_weighted,Musquodoboit Valley Memorial Hospital,23.61
