Rank,Community,Distance to Hospital (km),Nearest Acute Hospital,65+ Share (%),65+ Population,Total Population (estimate),Vulnerability Score,Population Method,Vulnerable
1,Chester and Area,32.35,Fishermen's Memorial Hospital,30.6,3270.0,10693.0,0.833,CSD_exact,Yes
2,Digby / Clare / Weymouth,29.87,Digby General Hospital,30.1,2780.0,9243.0,0.787,CSD_exact,Yes
3,Liverpool,26.23,Queens General Hospital,31.5,3280.0,10422.0,0.769,CSD_exact,Yes
4,Cumberland North / North Shore,18.52,North Cumberland Memorial Hospital,35.4,1515.0,4283.0,0.751,CSD_exact,Yes
5,Port Hawkesbury / L'Ardoise / Isle Madame,20.89,Strait - Richmond Hospital,32.6,1225.0,3763.0,0.72,CSD_exact,Yes
6,Economy / Glenholme,31.32,All Saints Springhill Hospital,25.8,970.0,3762.0,0.71,CSD_exact,Yes
7,Hants North,36.65,Hants Community Hospital,21.8,1549.0,7103.0,0.694,DA_area_weighted,
8,South Cumberland,16.88,South Cumberland Community Care Centre,33.7,1080.0,3201.0,0.69,CSD_exact,Yes
9,Yarmouth,27.36,Yarmouth Regional Hospital,26.7,2105.0,7870.0,0.676,CSD_exact,Yes
10,Dingwall,24.97,Buchanan Memorial Community Health Centre,27.5,735.0,2673.0,0.661,CSD_exact,Yes
11,Cheticamp,12.7,Sacred Heart Community Health Centre,33.6,1750.0,5207.0,0.63,CSD_exact,Yes
12,Florence / Sydney Mines / North Sydney,21.28,Victoria County Memorial Hospital,27.3,5122.0,18764.0,0.606,DA_area_weighted,Yes
13,Sherbrooke,11.13,St. Mary’s Memorial Hospital,33.3,720.0,2161.0,0.602,CSD_exact,Yes
14,Inverness,12.14,Inverness Consolidated Memorial Hospital,31.8,1545.0,4865.0,0.582,CSD_exact,Yes
15,Annapolis Royal,23.94,Annapolis Community Health Centre,24.3,740.0,3049.0,0.575,CSD_exact,
16,Eastern Shore / Musquodoboit,23.61,Musquodoboit Valley Memorial Hospital,24.1,4505.0,18724.0,0.566,DA_area_weighted,
